Device/Package xc7a50tcpg236 10/25/2013 10:59:51                                                                                                   
                                                                                                        
Pin  Pin Name                      Memory Byte Group  Bank  VCCAUX Group  Super Logic Region  I/O Type  No-Connect
T1   IO_L3P_T0_DQS_34              0                  34    NA            NA                  HR        NA
U1   IO_L3N_T0_DQS_34              0                  34    NA            NA                  HR        NA
V2   IO_L5P_T0_34                  0                  34    NA            NA                  HR        NA
W2   IO_L5N_T0_34                  0                  34    NA            NA                  HR        NA
V3   IO_L6P_T0_34                  0                  34    NA            NA                  HR        NA
W3   IO_L6N_T0_VREF_34             0                  34    NA            NA                  HR        NA
U3   IO_L9P_T1_DQS_34              1                  34    NA            NA                  HR        NA
U2   IO_L9N_T1_DQS_34              1                  34    NA            NA                  HR        NA
U4   IO_L11P_T1_SRCC_34            1                  34    NA            NA                  HR        NA
V4   IO_L11N_T1_SRCC_34            1                  34    NA            NA                  HR        NA
W5   IO_L12P_T1_MRCC_34            1                  34    NA            NA                  HR        NA
W4   IO_L12N_T1_MRCC_34            1                  34    NA            NA                  HR        NA
W7   IO_L13P_T2_MRCC_34            2                  34    NA            NA                  HR        NA
W6   IO_L13N_T2_MRCC_34            2                  34    NA            NA                  HR        NA
U8   IO_L14P_T2_SRCC_34            2                  34    NA            NA                  HR        NA
V8   IO_L14N_T2_SRCC_34            2                  34    NA            NA                  HR        NA
U5   IO_L16P_T2_34                 2                  34    NA            NA                  HR        NA
V5   IO_L16N_T2_34                 2                  34    NA            NA                  HR        NA
U7   IO_L19P_T3_34                 3                  34    NA            NA                  HR        NA
V7   IO_L19N_T3_VREF_34            3                  34    NA            NA                  HR        NA
G3   IO_L1P_T0_AD4P_35             0                  35    NA            NA                  HR        NA
G2   IO_L1N_T0_AD4N_35             0                  35    NA            NA                  HR        NA
H2   IO_L2P_T0_AD12P_35            0                  35    NA            NA                  HR        NA
J2   IO_L2N_T0_AD12N_35            0                  35    NA            NA                  HR        NA
H1   IO_L3P_T0_DQS_AD5P_35         0                  35    NA            NA                  HR        NA
J1   IO_L3N_T0_DQS_AD5N_35         0                  35    NA            NA                  HR        NA
K2   IO_L5P_T0_AD13P_35            0                  35    NA            NA                  HR        NA
L2   IO_L5N_T0_AD13N_35            0                  35    NA            NA                  HR        NA
L1   IO_L6N_T0_VREF_35             0                  35    NA            NA                  HR        NA
J3   IO_L7P_T1_AD6P_35             1                  35    NA            NA                  HR        NA
K3   IO_L7N_T1_AD6N_35             1                  35    NA            NA                  HR        NA
L3   IO_L8P_T1_AD14P_35            1                  35    NA            NA                  HR        NA
M3   IO_L8N_T1_AD14N_35            1                  35    NA            NA                  HR        NA
M2   IO_L9P_T1_DQS_AD7P_35         1                  35    NA            NA                  HR        NA
M1   IO_L9N_T1_DQS_AD7N_35         1                  35    NA            NA                  HR        NA
N2   IO_L10P_T1_AD15P_35           1                  35    NA            NA                  HR        NA
N1   IO_L10N_T1_AD15N_35           1                  35    NA            NA                  HR        NA
N3   IO_L12P_T1_MRCC_35            1                  35    NA            NA                  HR        NA
P3   IO_L12N_T1_MRCC_35            1                  35    NA            NA                  HR        NA
P1   IO_L19N_T3_VREF_35            3                  35    NA            NA                  HR        NA
C7   MGTRREF_216                   NA                 216   NA            NA                  GTP       NA
A8   MGTREFCLK0N_216               NA                 216   NA            NA                  GTP       NA
B8   MGTREFCLK0P_216               NA                 216   NA            NA                  GTP       NA
B6   MGTPRXP1_216                  NA                 216   NA            NA                  GTP       NA
B4   MGTPRXP0_216                  NA                 216   NA            NA                  GTP       NA
B10  MGTREFCLK1P_216               NA                 216   NA            NA                  GTP       NA
A10  MGTREFCLK1N_216               NA                 216   NA            NA                  GTP       NA
A6   MGTPRXN1_216                  NA                 216   NA            NA                  GTP       NA
A4   MGTPRXN0_216                  NA                 216   NA            NA                  GTP       NA
B2   MGTPTXP1_216                  NA                 216   NA            NA                  GTP       NA
A2   MGTPTXN1_216                  NA                 216   NA            NA                  GTP       NA
D2   MGTPTXP0_216                  NA                 216   NA            NA                  GTP       NA
D1   MGTPTXN0_216                  NA                 216   NA            NA                  GTP       NA
M11  VCCBRAM                       NA                 NA    NA            NA                  NA        NA
N11  VCCBRAM                       NA                 NA    NA            NA                  NA        NA
A1   GND                           NA                 NA    NA            NA                  NA        NA
A3   GND                           NA                 NA    NA            NA                  NA        NA
A5   GND                           NA                 NA    NA            NA                  NA        NA
A7   GND                           NA                 NA    NA            NA                  NA        NA
A9   GND                           NA                 NA    NA            NA                  NA        NA
A19  GND                           NA                 NA    NA            NA                  NA        NA
B3   GND                           NA                 NA    NA            NA                  NA        NA
B5   GND                           NA                 NA    NA            NA                  NA        NA
B7   GND                           NA                 NA    NA            NA                  NA        NA
B9   GND                           NA                 NA    NA            NA                  NA        NA
B14  GND                           NA                 NA    NA            NA                  NA        NA
C2   GND                           NA                 NA    NA            NA                  NA        NA
C3   GND                           NA                 NA    NA            NA                  NA        NA
C4   GND                           NA                 NA    NA            NA                  NA        NA
C6   GND                           NA                 NA    NA            NA                  NA        NA
C10  GND                           NA                 NA    NA            NA                  NA        NA
C19  GND                           NA                 NA    NA            NA                  NA        NA
D3   GND                           NA                 NA    NA            NA                  NA        NA
E3   GND                           NA                 NA    NA            NA                  NA        NA
E17  GND                           NA                 NA    NA            NA                  NA        NA
F1   GND                           NA                 NA    NA            NA                  NA        NA
F2   GND                           NA                 NA    NA            NA                  NA        NA
F19  GND                           NA                 NA    NA            NA                  NA        NA
G1   GND                           NA                 NA    NA            NA                  NA        NA
G8   GND                           NA                 NA    NA            NA                  NA        NA
G11  GND                           NA                 NA    NA            NA                  NA        NA
H7   GND                           NA                 NA    NA            NA                  NA        NA
H8   GND                           NA                 NA    NA            NA                  NA        NA
H11  GND                           NA                 NA    NA            NA                  NA        NA
H12  GND                           NA                 NA    NA            NA                  NA        NA
H18  GND                           NA                 NA    NA            NA                  NA        NA
J8   GND                           NA                 NA    NA            NA                  NA        NA
J9   GND                           NA                 NA    NA            NA                  NA        NA
J11  GND                           NA                 NA    NA            NA                  NA        NA
J12  GND                           NA                 NA    NA            NA                  NA        NA
K8   GND                           NA                 NA    NA            NA                  NA        NA
L8   GND                           NA                 NA    NA            NA                  NA        NA
L9   GND                           NA                 NA    NA            NA                  NA        NA
L11  GND                           NA                 NA    NA            NA                  NA        NA
L19  GND                           NA                 NA    NA            NA                  NA        NA
M9   GND                           NA                 NA    NA            NA                  NA        NA
M13  GND                           NA                 NA    NA            NA                  NA        NA
N9   GND                           NA                 NA    NA            NA                  NA        NA
N12  GND                           NA                 NA    NA            NA                  NA        NA
N13  GND                           NA                 NA    NA            NA                  NA        NA
P2   GND                           NA                 NA    NA            NA                  NA        NA
T19  GND                           NA                 NA    NA            NA                  NA        NA
U6   GND                           NA                 NA    NA            NA                  NA        NA
U9   GND                           NA                 NA    NA            NA                  NA        NA
V18  GND                           NA                 NA    NA            NA                  NA        NA
W1   GND                           NA                 NA    NA            NA                  NA        NA
W12  GND                           NA                 NA    NA            NA                  NA        NA
G10  VCCINT                        NA                 NA    NA            NA                  NA        NA
H10  VCCINT                        NA                 NA    NA            NA                  NA        NA
J10  VCCINT                        NA                 NA    NA            NA                  NA        NA
L10  VCCINT                        NA                 NA    NA            NA                  NA        NA
M10  VCCINT                        NA                 NA    NA            NA                  NA        NA
N10  VCCINT                        NA                 NA    NA            NA                  NA        NA
H13  VCCAUX                        NA                 NA    NA            NA                  NA        NA
J13  VCCAUX                        NA                 NA    NA            NA                  NA        NA
V9   VCCO_0                        NA                 0     NA            NA                  NA        NA
G12  VCCO_0                        NA                 0     NA            NA                  NA        NA
F17  VCCO_14                       NA                 14    NA            NA                  NA        NA
K12  VCCO_14                       NA                 14    NA            NA                  NA        NA
K13  VCCO_14                       NA                 14    NA            NA                  NA        NA
L12  VCCO_14                       NA                 14    NA            NA                  NA        NA
L13  VCCO_14                       NA                 14    NA            NA                  NA        NA
M12  VCCO_14                       NA                 14    NA            NA                  NA        NA
M17  VCCO_14                       NA                 14    NA            NA                  NA        NA
R17  VCCO_14                       NA                 14    NA            NA                  NA        NA
U13  VCCO_14                       NA                 14    NA            NA                  NA        NA
B19  VCCO_16                       NA                 16    NA            NA                  NA        NA
C14  VCCO_16                       NA                 16    NA            NA                  NA        NA
C18  VCCO_16                       NA                 16    NA            NA                  NA        NA
G13  VCCO_16                       NA                 16    NA            NA                  NA        NA
M8   VCCO_34                       NA                 34    NA            NA                  NA        NA
N7   VCCO_34                       NA                 34    NA            NA                  NA        NA
N8   VCCO_34                       NA                 34    NA            NA                  NA        NA
R1   VCCO_34                       NA                 34    NA            NA                  NA        NA
V1   VCCO_34                       NA                 34    NA            NA                  NA        NA
V6   VCCO_34                       NA                 34    NA            NA                  NA        NA
H3   VCCO_35                       NA                 35    NA            NA                  NA        NA
J7   VCCO_35                       NA                 35    NA            NA                  NA        NA
K1   VCCO_35                       NA                 35    NA            NA                  NA        NA
K7   VCCO_35                       NA                 35    NA            NA                  NA        NA
L7   VCCO_35                       NA                 35    NA            NA                  NA        NA
M7   VCCO_35                       NA                 35    NA            NA                  NA        NA
C1   MGTAVCC                       NA                 NA    NA            NA                  NA        NA
E1   MGTAVCC                       NA                 NA    NA            NA                  NA        NA
F3   MGTAVCC                       NA                 NA    NA            NA                  NA        NA
G9   MGTAVCC                       NA                 NA    NA            NA                  NA        NA
H9   MGTAVCC                       NA                 NA    NA            NA                  NA        NA
B1   MGTAVTT                       NA                 NA    NA            NA                  NA        NA
C5   MGTAVTT                       NA                 NA    NA            NA                  NA        NA
E2   MGTAVTT                       NA                 NA    NA            NA                  NA        NA
G7   MGTAVTT                       NA                 NA    NA            NA                  NA        NA
                                                                                                        
Total Number of Pins, 238                                                                                                   
